mms_id,status,ns0_count,error_code,notes
991011688288204641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688288604641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688288704641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688288804641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688288904641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688289004641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688289104641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688289204641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688289304641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688289404641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688289504641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688289704641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688289804641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688289904641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688290004641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688290104641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688290204641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688290304641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688291004641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688291104641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688291204641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688291304641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688291404641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688292404641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688292504641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688292604641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688292704641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688292804641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688292904641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688293004641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688293104641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688293204641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688293604641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688294904641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688295004641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688295104641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688295304641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688295404641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688295504641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688295604641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688295704641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688295804641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688296004641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688296104641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688296204641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688296604641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688296704641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688296804641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688296904641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688297004641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688297104641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688297204641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688297304641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688297404641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688297604641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688297704641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688297804641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688297904641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688298004641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688298104641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688298204641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688298304641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688298404641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688298504641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688298704641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011546793604641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011546794104641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011546794304641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011546797804641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011546806804641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011546839204641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011546839504641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011546839904641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011546841304641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011551111904641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011551112004641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011551112104641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011551112304641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011551112404641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011551112604641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011551112704641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011551113804641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011551113904641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011551114004641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011551114104641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011551114204641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011551114304641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011551114504641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011551114604641,Fetchable - Clean,0,,No ns0: fields found - record is clean
